Date,Gospels,Pentateuch,Epistles1,Epistles2,Wisdom,Psalms,Proverbs,History,Prophets,Acts
L.D. 4/30,Mark 3,Num 3,2Cor 10,Rev 12,Song 4,Psalm 120,Prov 27,1Kings 16,Lam 2,Acts 8
Mon 5/1,Mark 4,Num 4,2Cor 11,Rev 13,Song 5,Psalm 121,Prov 28,1Kings 17,Lam 3,Acts 9
Tue 5/2,Mark 5,Num 5,2Cor 12,Rev 14,Song 6,Psalm 122,Prov 29,1Kings 18,Lam 4,Acts 10
Wed 5/3,Mark 6,Num 6,2Cor 13,Rev 15,Song 7,Psalm 123,Prov 30,1Kings 19,Lam 5,Acts 11
Thu 5/4,Mark 7,Num 7,Gal 1,Rev 16,Song 8,Psalm 124,Prov 31,1Kings 20,Ezek 1,Acts 12
Fri 5/5,Mark 8,Num 8,Gal 2,Rev 17,Job 1,Psalm 125,Prov 1,1Kings 21,Ezek 2,Acts 13
Sat 5/6,Mark 9,Num 9,Gal 3,Rev 18,Job 2,Psalm 126,Prov 2,1Kings 22,Ezek 3,Acts 14
L.D. 5/7,Mark 10,Num 10,Gal 4,Rev 19,Job 3,Psalm 127,Prov 3,2Kings 1,Ezek 4,Acts 15
Mon 5/8,Mark 11,Num 11,Gal 5,Rev 20,Job 4,Psalm 128,Prov 4,2Kings 2,Ezek 5,Acts 16
Tue 5/9,Mark 12,Num 12,Gal 6,Rev 21,Job 5,Psalm 129,Prov 5,2Kings 3,Ezek 6,Acts 17
Wed 5/10,Mark 13,Num 13,Eph 1,Rev 22,Job 6,Psalm 130,Prov 6,2Kings 4,Ezek 7,Acts 18
Thu 5/11,Mark 14,Num 14,Eph 2,1Thess 1,Job 7,Psalm 131,Prov 7,2Kings 5,Ezek 8,Acts 19
Fri 5/12,Mark 15,Num 15,Eph 3,1Thess 2,Job 8,Psalm 132,Prov 8,2Kings 6,Ezek 9,Acts 20
Sat 5/13,Mark 16,Num 16,Eph 4,1Thess 3,Job 9,Psalm 133,Prov 9,2Kings 7,Ezek 10,Acts 21
L.D. 5/14,Luke 1,Num 17,Eph 5,1Thess 4,Job 10,Psalm 134,Prov 10,2Kings 8,Ezek 11,Acts 22
Mon 5/15,Luke 2,Num 18,Eph 6,1Thess 5,Job 11,Psalm 135,Prov 11,2Kings 9,Ezek 12,Acts 23
Tue 5/16,Luke 3,Num 19,Phil 1,2Thess 1,Job 12,Psalm 136,Prov 12,2Kings 10,Ezek 13,Acts 24
Wed 5/17,Luke 4,Num 20,Phil 2,2Thess 2,Job 13,Psalm 137,Prov 13,2Kings 11,Ezek 14,Acts 25
Thu 5/18,Luke 5,Num 21,Phil 3,2Thess 3,Job 14,Psalm 138,Prov 14,2Kings 12,Ezek 15,Acts 26
Fri 5/19,Luke 6,Num 22,Phil 4,1Tim 1,Job 15,Psalm 139,Prov 15,2Kings 13,Ezek 16,Acts 27
Sat 5/20,Luke 7,Num 23,Col 1,1Tim 2,Job 16,Psalm 140,Prov 16,2Kings 14,Ezek 17,Acts 28
L.D. 5/21,Luke 8,Num 24,Col 2,1Tim 3,Job 17,Psalm 141,Prov 17,2Kings 15,Ezek 18,Acts 1
